Image,Response
I_Andesite_01.jpg,2.75
I_Andesite_02.jpg,5.25
I_Andesite_03.jpg,6.75
I_Andesite_04.jpg,"Based on the examples provided and the appearance of the rock in the image, I would rate this rock as a 5.25 on the scale of global texture organization, where 1.00 represents the most disorganized texture and 9.00 represents the most organized texture."
I_Andesite_05.jpg,5.75
I_Andesite_06.jpg,5.25
I_Andesite_07.jpg,"Based on the examples provided and the appearance of the rock in the image, I would rate this rock as a 5.75 on the scale of global texture organization, where 1.00 represents the most disorganized texture and 9.00 represents the most organized texture."
I_Andesite_08.jpg,5.25
I_Andesite_09.jpg,5.25
I_Andesite_10.jpg,5.25
I_Andesite_11.jpg,5.25
I_Andesite_12.jpg,5.25
I_Basalt_01.jpg,"Based on the examples provided and the appearance of the rock in the image, I would rate this rock as a 5.25 on the scale of 1.00 (most disorganized) to 9.00 (most organized)."
I_Basalt_02.jpg,3.75
I_Basalt_03.jpg,6.75
I_Basalt_04.jpg,2.75
I_Basalt_05.jpg,"Based on the examples provided and the appearance of the rock in the image, I would rate this rock as a 3.25 on the scale of 1.00 (most disorganized) to 9.00 (most organized)."
I_Basalt_06.jpg,2.25
I_Basalt_07.jpg,5.25
I_Basalt_08.jpg,"Based on the provided examples and the appearance of the rock in the image, I would rate this rock as a 2.75 on the 1.00 to 9.00 scale. The rock appears to have a relatively disorganized global texture, with fragments and crystals that seem haphazardly arranged, rather than exhibiting a highly organized or systematic pattern."
I_Basalt_09.jpg,3.75
I_Basalt_10.jpg,3.25
I_Basalt_11.jpg,3.75
I_Basalt_12.jpg,3.75
I_Diorite_01.jpg,5.25
I_Diorite_02.jpg,7.25
I_Diorite_03.jpg,6.25
I_Diorite_04.jpg,5.25
I_Diorite_05.jpg,5.75
I_Diorite_06.jpg,5.25
I_Diorite_07.jpg,5.25
I_Diorite_08.jpg,6.75
I_Diorite_09.jpg,5.75
I_Diorite_10.jpg,5.75
I_Diorite_11.jpg,5.75
I_Diorite_12.jpg,5.75
I_Gabbro_01.jpg,5.75
I_Gabbro_02.jpg,3.75
I_Gabbro_03.jpg,"Based on the examples provided and the appearance of the rock in the image, I would rate this rock as a 5.25 on the scale of global texture organization, where 1.00 represents the most disorganized texture and 9.00 represents the most organized texture."
I_Gabbro_04.jpg,3.75
I_Gabbro_05.jpg,5.75
I_Gabbro_06.jpg,3.25
I_Gabbro_07.jpg,5.25
I_Gabbro_08.jpg,5.25
I_Gabbro_09.jpg,2.75
I_Gabbro_10.jpg,2.75
I_Gabbro_11.jpg,5.25
I_Gabbro_12.jpg,5.75
I_Granite_01.jpg,5.75
I_Granite_02.jpg,5.75
I_Granite_03.jpg,5.25
I_Granite_04.jpg,5.75
I_Granite_05.jpg,5.75
I_Granite_06.jpg,5.25
I_Granite_07.jpg,5.25
I_Granite_08.jpg,5.75
I_Granite_09.jpg,5.25
I_Granite_10.jpg,5.25
I_Granite_11.jpg,5.25
I_Granite_12.jpg,5.25
I_Obsidian_01.jpg,2.75
I_Obsidian_02.jpg,2.75
I_Obsidian_03.jpg,2.75
I_Obsidian_04.jpg,8.75
I_Obsidian_05.jpg,2.75
I_Obsidian_06.jpg,7.25
I_Obsidian_07.jpg,6.75
I_Obsidian_08.jpg,7.75
I_Obsidian_09.jpg,3.25
I_Obsidian_10.jpg,7.25
I_Obsidian_11.jpg,7.75
I_Obsidian_12.jpg,2.75
I_Pegmatite_01.jpg,5.25
I_Pegmatite_02.jpg,5.75
I_Pegmatite_03.jpg,6.75
I_Pegmatite_04.jpg,5.75
I_Pegmatite_05.jpg,5.75
I_Pegmatite_06.jpg,5.25
