Image,Response
I_Andesite_01.jpg,7.84
I_Andesite_02.jpg,6.37
I_Andesite_03.jpg,6.73
I_Andesite_04.jpg,6.73
I_Andesite_05.jpg,7.24
I_Andesite_06.jpg,6.37
I_Andesite_07.jpg,6.37
I_Andesite_08.jpg,6.73
I_Andesite_09.jpg,6.73
I_Andesite_10.jpg,7.82
I_Andesite_11.jpg,6.73
I_Andesite_12.jpg,7.82
I_Basalt_01.jpg,6.74
I_Basalt_02.jpg,7.24
I_Basalt_03.jpg,7.24
I_Basalt_04.jpg,7.24
I_Basalt_05.jpg,6.37
I_Basalt_06.jpg,7.24
I_Basalt_07.jpg,7.24
I_Basalt_08.jpg,7.82
I_Basalt_09.jpg,6.73
I_Basalt_10.jpg,7.82
I_Basalt_11.jpg,7.82
I_Basalt_12.jpg,6.73
I_Diorite_01.jpg,6.73
I_Diorite_02.jpg,6.74
I_Diorite_03.jpg,6.27
I_Diorite_04.jpg,6.37
I_Diorite_05.jpg,6.74
I_Diorite_06.jpg,7.84
I_Diorite_07.jpg,6.27
I_Diorite_08.jpg,2.37
I_Diorite_09.jpg,6.27
I_Diorite_10.jpg,3.27
I_Diorite_11.jpg,6.27
I_Diorite_12.jpg,6.27
I_Gabbro_01.jpg,7.24
I_Gabbro_02.jpg,7.82
I_Gabbro_03.jpg,7.24
I_Gabbro_04.jpg,7.82
I_Gabbro_05.jpg,7.82
I_Gabbro_06.jpg,7.82
I_Gabbro_07.jpg,7.24
I_Gabbro_08.jpg,7.82
I_Gabbro_09.jpg,7.82
I_Gabbro_10.jpg,7.82
I_Gabbro_11.jpg,7.24
I_Gabbro_12.jpg,7.84
I_Granite_01.jpg,7.84
I_Granite_02.jpg,7.24
I_Granite_03.jpg,7.24
I_Granite_04.jpg,7.84
I_Granite_05.jpg,7.84
I_Granite_06.jpg,6.73
I_Granite_07.jpg,6.73
I_Granite_08.jpg,6.73
I_Granite_09.jpg,7.24
I_Granite_10.jpg,7.24
I_Granite_11.jpg,6.73
I_Granite_12.jpg,6.73
I_Obsidian_01.jpg,1.73
I_Obsidian_02.jpg,1.73
I_Obsidian_03.jpg,7.24
I_Obsidian_04.jpg,1.73
I_Obsidian_05.jpg,6.73
I_Obsidian_06.jpg,7.84
I_Obsidian_07.jpg,7.24
I_Obsidian_08.jpg,2.37
I_Obsidian_09.jpg,1.37
I_Obsidian_10.jpg,6.27
I_Obsidian_11.jpg,2.37
I_Obsidian_12.jpg,2.37
I_Pegmatite_01.jpg,7.84
I_Pegmatite_02.jpg,7.24
I_Pegmatite_03.jpg,6.73
I_Pegmatite_04.jpg,7.84
I_Pegmatite_05.jpg,7.24
I_Pegmatite_06.jpg,6.27
I_Pegmatite_07.jpg,7.63
I_Pegmatite_08.jpg,7.24
I_Pegmatite_09.jpg,6.73
I_Pegmatite_10.jpg,6.27
I_Pegmatite_11.jpg,7.24
I_Pegmatite_12.jpg,6.73
I_Peridotite_01.jpg,7.82
I_Peridotite_02.jpg,7.24
I_Peridotite_03.jpg,7.24
I_Peridotite_04.jpg,6.73
I_Peridotite_05.jpg,6.73
I_Peridotite_06.jpg,7.24
I_Peridotite_07.jpg,7.24
I_Peridotite_08.jpg,7.24
I_Peridotite_09.jpg,6.73
I_Peridotite_10.jpg,7.63
I_Peridotite_11.jpg,7.82
I_Peridotite_12.jpg,7.24
I_Pumice_01.jpg,8.27
I_Pumice_02.jpg,7.82
I_Pumice_03.jpg,7.24
I_Pumice_04.jpg,7.24
I_Pumice_05.jpg,7.24
I_Pumice_06.jpg,7.82
I_Pumice_07.jpg,8.27
I_Pumice_08.jpg,6.73
I_Pumice_09.jpg,8.27
I_Pumice_10.jpg,6.27
I_Pumice_11.jpg,7.24
I_Pumice_12.jpg,6.73
I_Rhyolite_01.jpg,7.82
I_Rhyolite_02.jpg,6.37
I_Rhyolite_03.jpg,2.37
I_Rhyolite_04.jpg,7.24
I_Rhyolite_05.jpg,7.84
I_Rhyolite_06.jpg,7.24
I_Rhyolite_07.jpg,6.73
I_Rhyolite_08.jpg,6.27
I_Rhyolite_09.jpg,7.24
I_Rhyolite_10.jpg,7.24
I_Rhyolite_11.jpg,6.27
I_Rhyolite_12.jpg,7.24
M_Amphibolite_01.jpg,8.27
M_Amphibolite_02.jpg,7.82
M_Amphibolite_03.jpg,7.82
M_Amphibolite_04.jpg,7.82
M_Amphibolite_05.jpg,7.82
M_Amphibolite_06.jpg,7.82
M_Amphibolite_07.jpg,7.82
M_Amphibolite_08.jpg,8.37
M_Amphibolite_09.jpg,7.24
M_Amphibolite_10.jpg,8.27
M_Amphibolite_11.jpg,8.27
M_Amphibolite_12.jpg,7.24
M_Anthracite_01.jpg,7.82
M_Anthracite_02.jpg,7.82
M_Anthracite_03.jpg,8.27
M_Anthracite_04.jpg,8.27
M_Anthracite_05.jpg,7.84
M_Anthracite_06.jpg,7.84
M_Anthracite_07.jpg,8.27
M_Anthracite_08.jpg,7.24
M_Anthracite_09.jpg,7.82
M_Anthracite_10.jpg,8.37
M_Anthracite_11.jpg,7.82
M_Anthracite_12.jpg,7.84
M_Gneiss_01.jpg,6.37
M_Gneiss_02.jpg,7.24
M_Gneiss_03.jpg,6.37
M_Gneiss_04.jpg,7.23
M_Gneiss_05.jpg,6.73
M_Gneiss_06.jpg,6.74
M_Gneiss_07.jpg,6.73
M_Gneiss_08.jpg,6.37
M_Gneiss_09.jpg,6.74
M_Gneiss_10.jpg,7.24
M_Gneiss_11.jpg,6.74
M_Gneiss_12.jpg,7.24
M_Hornfels_01.jpg,7.24
M_Hornfels_02.jpg,2.37
M_Hornfels_03.jpg,7.82
M_Hornfels_04.jpg,6.73
M_Hornfels_05.jpg,6.73
M_Hornfels_06.jpg,7.24
M_Hornfels_07.jpg,7.82
M_Hornfels_08.jpg,7.82
M_Hornfels_09.jpg,7.38
M_Hornfels_10.jpg,7.24
M_Hornfels_11.jpg,7.82
M_Hornfels_12.jpg,7.24
M_Marble_01.jpg,2.37
M_Marble_02.jpg,1.73
M_Marble_03.jpg,1.73
M_Marble_04.jpg,2.37
M_Marble_05.jpg,2.37
M_Marble_06.jpg,2.37
M_Marble_07.jpg,6.27
M_Marble_08.jpg,3.27
M_Marble_09.jpg,2.37
M_Marble_10.jpg,6.27
M_Marble_11.jpg,6.27
M_Marble_12.jpg,2.37
M_Migmatite_01.jpg,6.37
M_Migmatite_02.jpg,6.73
M_Migmatite_03.jpg,2.37
M_Migmatite_04.jpg,7.24
M_Migmatite_05.jpg,6.73
M_Migmatite_06.jpg,6.37
M_Migmatite_07.jpg,6.37
M_Migmatite_08.jpg,7.24
M_Migmatite_09.jpg,7.24
M_Migmatite_10.jpg,7.82
M_Migmatite_11.jpg,6.73
M_Migmatite_12.jpg,7.24
M_Phyllite_01.jpg,7.24
M_Phyllite_02.jpg,6.37
M_Phyllite_03.jpg,6.27
M_Phyllite_04.jpg,7.24
M_Phyllite_05.jpg,2.37
M_Phyllite_06.jpg,6.73
M_Phyllite_07.jpg,6.37
M_Phyllite_08.jpg,6.37
M_Phyllite_09.jpg,6.73
M_Phyllite_10.jpg,2.37
M_Phyllite_11.jpg,7.24
M_Phyllite_12.jpg,6.37
M_Quartzite_01.jpg,6.37
M_Quartzite_02.jpg,6.27
M_Quartzite_03.jpg,2.37
M_Quartzite_04.jpg,6.73
M_Quartzite_05.jpg,6.37
M_Quartzite_06.jpg,6.37
M_Quartzite_07.jpg,2.37
M_Quartzite_08.jpg,6.74
M_Quartzite_09.jpg,6.27
M_Quartzite_10.jpg,7.24
M_Quartzite_11.jpg,7.24
M_Quartzite_12.jpg,3.27
M_Schist_01.jpg,6.73
M_Schist_02.jpg,7.24
M_Schist_03.jpg,7.24
M_Schist_04.jpg,7.24
M_Schist_05.jpg,6.74
M_Schist_06.jpg,7.24
M_Schist_07.jpg,7.24
M_Schist_08.jpg,6.73
M_Schist_09.jpg,7.84
M_Schist_10.jpg,7.24
M_Schist_11.jpg,6.37
M_Schist_12.jpg,7.24
M_Slate_01.jpg,6.24
M_Slate_02.jpg,3.27
M_Slate_03.jpg,6.27
M_Slate_04.jpg,6.37
M_Slate_05.jpg,2.37
M_Slate_06.jpg,7.82
M_Slate_07.jpg,2.37
M_Slate_08.jpg,2.37
M_Slate_09.jpg,6.73
M_Slate_10.jpg,6.37
M_Slate_11.jpg,2.37
M_Slate_12.jpg,2.37
S_Bituminous Coal_01.jpg,7.82
S_Bituminous Coal_02.jpg,1.37
S_Bituminous Coal_03.jpg,8.37
S_Bituminous Coal_04.jpg,7.84
S_Bituminous Coal_05.jpg,8.37
S_Bituminous Coal_06.jpg,7.24
S_Bituminous Coal_07.jpg,7.82
S_Bituminous Coal_08.jpg,8.73
S_Bituminous Coal_09.jpg,7.24
S_Bituminous Coal_10.jpg,7.82
S_Bituminous Coal_11.jpg,7.82
S_Bituminous Coal_12.jpg,5.37
S_Breccia_01.jpg,8.76
S_Breccia_02.jpg,6.27
S_Breccia_03.jpg,7.24
S_Breccia_04.jpg,7.24
S_Breccia_05.jpg,6.73
S_Breccia_06.jpg,6.37
S_Breccia_07.jpg,6.27
S_Breccia_08.jpg,7.24
S_Breccia_09.jpg,7.82
S_Breccia_10.jpg,7.82
S_Breccia_11.jpg,6.37
S_Breccia_12.jpg,6.37
S_Chert_01.jpg,6.37
S_Chert_02.jpg,2.37
S_Chert_03.jpg,2.37
S_Chert_04.jpg,6.37
S_Chert_05.jpg,2.37
S_Chert_06.jpg,3.27
S_Chert_07.jpg,2.37
S_Chert_08.jpg,2.37
S_Chert_09.jpg,6.27
S_Chert_10.jpg,2.37
S_Chert_11.jpg,7.24
S_Chert_12.jpg,7.24
S_Conglomerate_01.jpg,7.82
S_Conglomerate_02.jpg,6.74
S_Conglomerate_03.jpg,7.84
S_Conglomerate_04.jpg,7.82
S_Conglomerate_05.jpg,7.63
S_Conglomerate_06.jpg,8.37
S_Conglomerate_07.jpg,6.73
S_Conglomerate_08.jpg,7.24
S_Conglomerate_09.jpg,7.63
S_Conglomerate_10.jpg,6.27
S_Conglomerate_11.jpg,7.24
S_Conglomerate_12.jpg,7.24
S_Dolomite_01.jpg,2.37
S_Dolomite_02.jpg,7.24
S_Dolomite_03.jpg,6.37
S_Dolomite_04.jpg,2.37
S_Dolomite_05.jpg,6.27
S_Dolomite_06.jpg,2.37
S_Dolomite_07.jpg,2.37
S_Dolomite_08.jpg,6.27
S_Dolomite_09.jpg,2.37
S_Dolomite_10.jpg,6.73
S_Dolomite_11.jpg,7.82
S_Dolomite_12.jpg,6.27
S_Micrite_01.jpg,6.27
S_Micrite_02.jpg,6.37
S_Micrite_03.jpg,6.73
S_Micrite_04.jpg,7.24
S_Micrite_05.jpg,6.27
S_Micrite_06.jpg,2.37
S_Micrite_07.jpg,6.73
S_Micrite_08.jpg,6.37
S_Micrite_09.jpg,6.37
S_Micrite_10.jpg,6.37
S_Micrite_11.jpg,2.37
S_Micrite_12.jpg,6.37
S_Rock Gypsum_01.jpg,6.27
S_Rock Gypsum_02.jpg,2.37
S_Rock Gypsum_03.jpg,1.37
S_Rock Gypsum_04.jpg,6.27
S_Rock Gypsum_05.jpg,7.82
S_Rock Gypsum_06.jpg,2.37
S_Rock Gypsum_07.jpg,6.27
S_Rock Gypsum_08.jpg,7.24
S_Rock Gypsum_09.jpg,2.37
S_Rock Gypsum_10.jpg,6.37
S_Rock Gypsum_11.jpg,2.37
S_Rock Gypsum_12.jpg,2.37
S_Rock Salt_01.jpg,7.38
S_Rock Salt_02.jpg,7.84
S_Rock Salt_03.jpg,6.73
S_Rock Salt_04.jpg,7.24
S_Rock Salt_05.jpg,7.24
S_Rock Salt_06.jpg,7.82
S_Rock Salt_07.jpg,2.37
S_Rock Salt_08.jpg,2.37
S_Rock Salt_09.jpg,7.24
S_Rock Salt_10.jpg,2.37
S_Rock Salt_11.jpg,1.73
S_Rock Salt_12.jpg,6.27
S_Sandstone_01.jpg,6.37
S_Sandstone_02.jpg,2.37
S_Sandstone_03.jpg,3.27
S_Sandstone_04.jpg,2.37
S_Sandstone_05.jpg,7.24
S_Sandstone_06.jpg,6.37
S_Sandstone_07.jpg,6.37
S_Sandstone_08.jpg,2.37
S_Sandstone_09.jpg,7.24
S_Sandstone_10.jpg,2.37
S_Sandstone_11.jpg,2.37
S_Sandstone_12.jpg,2.37
S_Shale_01.jpg,6.74
S_Shale_02.jpg,6.37
S_Shale_03.jpg,2.37
S_Shale_04.jpg,7.24
S_Shale_05.jpg,6.74
S_Shale_06.jpg,6.27
S_Shale_07.jpg,6.27
S_Shale_08.jpg,6.73
S_Shale_09.jpg,6.74
S_Shale_10.jpg,6.37
S_Shale_11.jpg,7.24
S_Shale_12.jpg,6.74
