Image,Response
I_Andesite_01.jpg,5.23
I_Andesite_02.jpg,5.32
I_Andesite_03.jpg,8.27
I_Andesite_04.jpg,3.72
I_Andesite_05.jpg,5.72
I_Andesite_06.jpg,5.23
I_Andesite_07.jpg,5.23
I_Andesite_08.jpg,5.23
I_Andesite_09.jpg,5.23
I_Andesite_10.jpg,5.23
I_Andesite_11.jpg,5.23
I_Andesite_12.jpg,3.27
I_Basalt_01.jpg,4.72
I_Basalt_02.jpg,5.23
I_Basalt_03.jpg,7.83
I_Basalt_04.jpg,8.27
I_Basalt_05.jpg,5.12
I_Basalt_06.jpg,5.00
I_Basalt_07.jpg,3.72
I_Basalt_08.jpg,4.72
I_Basalt_09.jpg,5.23
I_Basalt_10.jpg,3.72
I_Basalt_11.jpg,5.23
I_Basalt_12.jpg,5.32
I_Diorite_01.jpg,5.23
I_Diorite_02.jpg,4.72
I_Diorite_03.jpg,5.23
I_Diorite_04.jpg,7.83
I_Diorite_05.jpg,5.23
I_Diorite_06.jpg,5.23
I_Diorite_07.jpg,5.72
I_Diorite_08.jpg,3.72
I_Diorite_09.jpg,7.32
I_Diorite_10.jpg,7.83
I_Diorite_11.jpg,7.32
I_Diorite_12.jpg,5.72
I_Gabbro_01.jpg,5.32
I_Gabbro_02.jpg,5.23
I_Gabbro_03.jpg,5.12
I_Gabbro_04.jpg,5.12
I_Gabbro_05.jpg,8.27
I_Gabbro_06.jpg,7.32
I_Gabbro_07.jpg,2.73
I_Gabbro_08.jpg,5.03
I_Gabbro_09.jpg,5.00
I_Gabbro_10.jpg,5.00
I_Gabbro_11.jpg,5.23
I_Gabbro_12.jpg,5.32
I_Granite_01.jpg,2.78
I_Granite_02.jpg,5.72
I_Granite_03.jpg,3.27
I_Granite_04.jpg,5.32
I_Granite_05.jpg,3.27
I_Granite_06.jpg,5.32
I_Granite_07.jpg,5.23
I_Granite_08.jpg,5.32
I_Granite_09.jpg,2.78
I_Granite_10.jpg,3.27
I_Granite_11.jpg,5.32
I_Granite_12.jpg,3.72
I_Obsidian_01.jpg,2.37
