pegmatitic structure,Image
2.55,I_Andesite_01.jpg
3.1,I_Andesite_02.jpg
2.0,I_Andesite_03.jpg
2.3,I_Andesite_04.jpg
2.85,I_Andesite_05.jpg
3.05,I_Andesite_06.jpg
3.2,I_Andesite_07.jpg
1.55,I_Andesite_08.jpg
2.3,I_Andesite_09.jpg
2.5,I_Andesite_10.jpg
2.65,I_Andesite_11.jpg
3.0,I_Andesite_12.jpg
1.05,I_Basalt_01.jpg
1.35,I_Basalt_02.jpg
2.45,I_Basalt_03.jpg
1.25,I_Basalt_04.jpg
1.15,I_Basalt_05.jpg
1.55,I_Basalt_06.jpg
2.1,I_Basalt_07.jpg
1.25,I_Basalt_08.jpg
1.2,I_Basalt_09.jpg
1.8,I_Basalt_10.jpg
1.7,I_Basalt_11.jpg
2.15,I_Basalt_12.jpg
2.55,I_Diorite_01.jpg
4.65,I_Diorite_02.jpg
3.1,I_Diorite_03.jpg
3.05,I_Diorite_04.jpg
2.9,I_Diorite_05.jpg
3.9,I_Diorite_06.jpg
4.1,I_Diorite_07.jpg
5.1,I_Diorite_08.jpg
3.3,I_Diorite_09.jpg
2.85,I_Diorite_10.jpg
3.1,I_Diorite_11.jpg
3.05,I_Diorite_12.jpg
3.15,I_Gabbro_01.jpg
2.05,I_Gabbro_02.jpg
3.2,I_Gabbro_03.jpg
4.5,I_Gabbro_04.jpg
3.15,I_Gabbro_05.jpg
3.1,I_Gabbro_06.jpg
3.65,I_Gabbro_07.jpg
2.7,I_Gabbro_08.jpg
3.4,I_Gabbro_09.jpg
2.3,I_Gabbro_10.jpg
1.55,I_Gabbro_11.jpg
2.4,I_Gabbro_12.jpg
5.3,I_Granite_01.jpg
3.3,I_Granite_02.jpg
3.75,I_Granite_03.jpg
3.5,I_Granite_04.jpg
3.3,I_Granite_05.jpg
3.7,I_Granite_06.jpg
3.9,I_Granite_07.jpg
3.9,I_Granite_08.jpg
5.3,I_Granite_09.jpg
4.4,I_Granite_10.jpg
4.15,I_Granite_11.jpg
3.65,I_Granite_12.jpg
3.05,I_Obsidian_01.jpg
3.95,I_Obsidian_02.jpg
3.5,I_Obsidian_03.jpg
4.15,I_Obsidian_04.jpg
5.4,I_Obsidian_05.jpg
5.1,I_Obsidian_06.jpg
4.85,I_Obsidian_07.jpg
4.8,I_Obsidian_08.jpg
3.85,I_Obsidian_09.jpg
3.9,I_Obsidian_10.jpg
3.05,I_Obsidian_11.jpg
3.9,I_Obsidian_12.jpg
5.25,I_Pegmatite_01.jpg
5.6,I_Pegmatite_02.jpg
5.75,I_Pegmatite_03.jpg
5.85,I_Pegmatite_04.jpg
5.55,I_Pegmatite_05.jpg
4.45,I_Pegmatite_06.jpg
8.2,I_Pegmatite_07.jpg
8.25,I_Pegmatite_08.jpg
6.4,I_Pegmatite_09.jpg
6.0,I_Pegmatite_10.jpg
8.75,I_Pegmatite_11.jpg
5.4,I_Pegmatite_12.jpg
2.1,I_Peridotite_01.jpg
3.9,I_Peridotite_02.jpg
4.75,I_Peridotite_03.jpg
4.35,I_Peridotite_04.jpg
3.75,I_Peridotite_05.jpg
5.95,I_Peridotite_06.jpg
3.05,I_Peridotite_07.jpg
3.55,I_Peridotite_08.jpg
3.55,I_Peridotite_09.jpg
4.5,I_Peridotite_10.jpg
2.4,I_Peridotite_11.jpg
4.35,I_Peridotite_12.jpg
1.35,I_Pumice_01.jpg
1.8,I_Pumice_02.jpg
1.3,I_Pumice_03.jpg
1.2,I_Pumice_04.jpg
1.2,I_Pumice_05.jpg
1.45,I_Pumice_06.jpg
1.7,I_Pumice_07.jpg
1.2,I_Pumice_08.jpg
1.2,I_Pumice_09.jpg
