pegmatitic structure,porphyritic texture,conchoidal fracture,Image
2.55,7.05,2.07,I_Andesite_01.jpg
3.1,7.05,2.27,I_Andesite_02.jpg
2.0,7.0,2.33,I_Andesite_03.jpg
2.3,8.14,1.27,I_Andesite_04.jpg
2.85,8.1,1.33,I_Andesite_05.jpg
3.05,7.33,2.07,I_Andesite_06.jpg
3.2,8.52,1.07,I_Andesite_07.jpg
1.55,3.81,2.2,I_Andesite_08.jpg
2.3,6.95,2.13,I_Andesite_09.jpg
2.5,6.67,1.53,I_Andesite_10.jpg
2.65,7.33,1.8,I_Andesite_11.jpg
3.0,6.95,1.47,I_Andesite_12.jpg
1.05,2.1,4.73,I_Basalt_01.jpg
1.35,3.05,3.73,I_Basalt_02.jpg
2.45,6.05,2.33,I_Basalt_03.jpg
1.25,2.0,4.07,I_Basalt_04.jpg
1.15,1.33,3.2,I_Basalt_05.jpg
1.55,1.48,3.07,I_Basalt_06.jpg
2.1,2.52,1.27,I_Basalt_07.jpg
1.25,1.67,3.2,I_Basalt_08.jpg
1.2,1.86,2.13,I_Basalt_09.jpg
1.8,1.62,4.4,I_Basalt_10.jpg
1.7,2.48,1.6,I_Basalt_11.jpg
2.15,3.57,2.0,I_Basalt_12.jpg
2.55,5.1,1.53,I_Diorite_01.jpg
4.65,5.76,2.07,I_Diorite_02.jpg
3.1,5.24,1.6,I_Diorite_03.jpg
3.05,5.76,2.67,I_Diorite_04.jpg
2.9,5.14,1.93,I_Diorite_05.jpg
3.9,5.48,1.6,I_Diorite_06.jpg
4.1,6.67,1.73,I_Diorite_07.jpg
5.1,6.38,1.87,I_Diorite_08.jpg
3.3,6.57,1.73,I_Diorite_09.jpg
2.85,5.52,1.47,I_Diorite_10.jpg
3.1,5.52,1.2,I_Diorite_11.jpg
3.05,5.48,1.47,I_Diorite_12.jpg
3.15,4.62,1.53,I_Gabbro_01.jpg
2.05,2.14,2.93,I_Gabbro_02.jpg
