dull/shiny,disorganized/organized,fine/coarse grain,Image,red/green,smooth/rough,chromaticity,darkness/lightness
2.25,5.8,4.75,I_Andesite_01.jpg,5.05,4.55,0.6,2.3
2.7,4.1,5.35,I_Andesite_02.jpg,4.67,5.3,1.1,6.55
2.7,4.75,4.45,I_Andesite_03.jpg,6.21,3.85,1.9,5.05
2.45,4.35,6.15,I_Andesite_04.jpg,4.37,5.85,2.2,5.55
2.3,4.35,7.0,I_Andesite_05.jpg,6.12,6.0,1.3,5.3
2.8,5.3,5.95,I_Andesite_06.jpg,5.09,5.35,0.4,5.85
3.0,5.45,6.6,I_Andesite_07.jpg,5.6,4.95,1.6,5.25
2.65,5.8,4.4,I_Andesite_08.jpg,5.07,4.8,1.2,5.4
2.25,5.55,4.8,I_Andesite_09.jpg,5.3,3.85,1.2,5.3
2.35,3.8,6.0,I_Andesite_10.jpg,4.95,5.75,0.8,4.75
2.45,3.55,5.7,I_Andesite_11.jpg,5.19,5.05,0.5,6.75
2.45,4.75,6.55,I_Andesite_12.jpg,3.33,6.35,3.9,6.45
2.35,5.5,2.75,I_Basalt_01.jpg,4.53,4.1,1.5,3.95
2.25,5.45,3.65,I_Basalt_02.jpg,5.37,3.85,0.7,4.8
3.0,4.55,4.75,I_Basalt_03.jpg,6.3,5.25,1.5,5.0
1.75,5.2,2.45,I_Basalt_04.jpg,5.56,3.65,1.2,1.75
1.95,5.15,2.85,I_Basalt_05.jpg,6.05,3.65,1.3,2.75
1.7,5.55,2.3,I_Basalt_06.jpg,5.05,3.75,0.3,2.25
1.8,4.0,5.0,I_Basalt_07.jpg,4.6,5.55,2.0,5.05
1.75,5.85,3.15,I_Basalt_08.jpg,5.0,4.05,0.7,1.85
1.9,5.5,2.55,I_Basalt_09.jpg,5.05,4.5,0.6,4.45
2.35,5.2,2.45,I_Basalt_10.jpg,3.81,3.9,2.3,2.55
2.2,4.7,5.05,I_Basalt_11.jpg,5.44,5.9,1.7,4.35
2.0,4.15,5.3,I_Basalt_12.jpg,5.35,6.25,0.9,4.85
3.1,6.15,4.9,I_Diorite_01.jpg,5.21,4.8,0.7,4.6
4.0,5.6,6.35,I_Diorite_02.jpg,6.05,5.3,2.5,4.15
3.05,5.35,5.2,I_Diorite_03.jpg,5.49,5.2,1.3,5.7
3.6,5.3,5.1,I_Diorite_04.jpg,6.28,4.9,1.1,5.15
3.3,5.8,5.3,I_Diorite_05.jpg,4.91,5.45,0.9,7.1
4.15,4.85,6.25,I_Diorite_06.jpg,4.51,5.35,1.5,5.95
3.75,4.55,6.45,I_Diorite_07.jpg,4.7,5.35,1.4,6.15
4.4,4.8,7.3,I_Diorite_08.jpg,5.7,6.45,1.7,5.9
3.85,5.6,6.3,I_Diorite_09.jpg,5.02,4.7,1.8,5.75
3.0,5.95,5.35,I_Diorite_10.jpg,6.77,5.25,1.9,6.2
3.2,5.3,6.1,I_Diorite_11.jpg,5.72,5.25,1.8,6.15
3.15,4.85,6.3,I_Diorite_12.jpg,6.0,5.75,2.9,5.65
3.25,4.8,5.55,I_Gabbro_01.jpg,5.58,5.95,1.1,5.1
2.85,5.2,3.65,I_Gabbro_02.jpg,4.4,4.45,1.9,3.3
3.45,5.65,5.35,I_Gabbro_03.jpg,5.26,5.0,1.0,4.5
3.9,4.15,6.4,I_Gabbro_04.jpg,5.33,6.85,0.6,4.0
3.15,3.9,6.15,I_Gabbro_05.jpg,6.58,6.65,2.0,3.65
3.35,3.75,5.35,I_Gabbro_06.jpg,5.95,5.65,1.2,4.65
2.4,4.1,7.3,I_Gabbro_07.jpg,3.02,6.95,3.9,4.25
3.25,4.45,5.85,I_Gabbro_08.jpg,5.28,6.0,0.7,3.5
5.2,3.9,5.9,I_Gabbro_09.jpg,5.05,6.75,0.2,1.9
3.55,4.55,5.15,I_Gabbro_10.jpg,4.88,6.55,0.8,2.0
2.8,4.95,4.8,I_Gabbro_11.jpg,5.33,5.25,0.9,4.4
2.65,4.6,5.3,I_Gabbro_12.jpg,5.26,5.2,1.0,4.25
3.95,4.6,7.35,I_Granite_01.jpg,2.4,6.25,5.5,5.0
3.3,5.45,5.6,I_Granite_02.jpg,4.67,5.3,1.4,7.15
3.85,5.05,6.05,I_Granite_03.jpg,2.91,5.45,4.5,6.25
3.35,5.75,5.8,I_Granite_04.jpg,4.56,5.35,1.4,6.0
2.2,3.7,6.45,I_Granite_05.jpg,2.12,6.9,5.7,5.0
3.7,5.2,5.95,I_Granite_06.jpg,4.6,5.15,1.7,5.55
3.3,5.0,6.1,I_Granite_07.jpg,4.93,5.75,0.8,6.45
4.4,5.1,6.2,I_Granite_08.jpg,4.86,5.05,1.4,6.7
5.55,2.6,7.3,I_Granite_09.jpg,2.26,7.8,5.2,4.8
3.55,4.45,6.45,I_Granite_10.jpg,2.81,6.0,5.5,5.5
3.95,4.85,6.85,I_Granite_11.jpg,4.42,5.4,2.0,7.0
4.15,4.45,6.6,I_Granite_12.jpg,3.88,5.65,3.1,6.5
7.7,5.4,1.5,I_Obsidian_01.jpg,3.88,1.75,2.2,1.5
8.45,5.65,1.05,I_Obsidian_02.jpg,4.6,1.2,1.5,1.1
7.95,4.85,1.6,I_Obsidian_03.jpg,5.07,2.7,0.4,1.25
8.9,5.95,1.25,I_Obsidian_04.jpg,5.02,1.4,0.1,1.0
7.85,3.5,3.9,I_Obsidian_05.jpg,5.51,1.65,0.5,1.6
8.75,5.0,2.15,I_Obsidian_06.jpg,3.0,2.15,2.6,1.85
7.65,6.5,2.45,I_Obsidian_07.jpg,3.16,1.9,2.9,1.7
8.95,5.5,1.55,I_Obsidian_08.jpg,5.37,1.6,1.1,1.55
8.5,5.75,1.1,I_Obsidian_09.jpg,5.6,1.65,0.6,1.05
8.65,5.45,1.3,I_Obsidian_10.jpg,5.56,1.45,0.9,1.4
8.75,6.1,1.15,I_Obsidian_11.jpg,5.0,1.2,0.1,1.0
8.85,5.6,1.2,I_Obsidian_12.jpg,4.72,1.6,0.6,1.05
4.45,1.45,8.2,I_Pegmatite_01.jpg,5.95,8.3,2.7,5.0
3.5,2.9,6.85,I_Pegmatite_02.jpg,2.88,6.4,4.7,3.8
4.15,2.25,7.45,I_Pegmatite_03.jpg,8.19,6.5,2.9,4.4
5.15,2.15,7.25,I_Pegmatite_04.jpg,4.7,7.65,1.3,6.15
4.35,2.45,7.6,I_Pegmatite_05.jpg,5.33,7.15,1.0,5.1
3.9,3.3,5.75,I_Pegmatite_06.jpg,4.37,5.85,1.8,6.8
4.5,2.35,7.45,I_Pegmatite_07.jpg,5.77,6.9,2.6,5.0
6.6,2.6,5.95,I_Pegmatite_08.jpg,5.07,6.9,3.0,4.5
5.2,2.1,6.8,I_Pegmatite_09.jpg,7.56,6.8,3.5,5.55
5.7,3.55,6.6,I_Pegmatite_10.jpg,7.67,6.5,4.4,6.4
4.55,2.5,7.45,I_Pegmatite_11.jpg,3.0,6.5,4.3,5.25
4.75,3.25,6.6,I_Pegmatite_12.jpg,5.07,6.75,0.5,5.45
2.85,5.85,3.55,I_Peridotite_01.jpg,5.58,4.95,1.4,3.25
4.75,3.45,6.2,I_Peridotite_02.jpg,7.56,5.7,4.1,5.35
3.35,4.2,6.45,I_Peridotite_03.jpg,5.44,6.15,1.1,3.3
4.35,4.0,6.25,I_Peridotite_04.jpg,4.16,5.5,3.8,5.7
4.65,4.3,4.8,I_Peridotite_05.jpg,7.21,5.9,2.9,4.6
6.0,2.45,6.95,I_Peridotite_06.jpg,7.72,7.0,3.3,5.05
3.4,4.45,5.85,I_Peridotite_07.jpg,7.33,6.2,2.3,4.7
4.0,4.25,6.4,I_Peridotite_08.jpg,7.16,6.1,3.6,4.2
3.1,4.25,4.8,I_Peridotite_09.jpg,5.05,5.05,1.5,3.95
4.35,4.1,6.65,I_Peridotite_10.jpg,7.21,7.1,2.5,5.1
2.45,3.5,6.35,I_Peridotite_11.jpg,8.51,6.95,3.0,5.45
4.1,4.6,6.45,I_Peridotite_12.jpg,7.33,6.0,2.6,4.85
1.8,4.35,4.95,I_Pumice_01.jpg,4.86,5.9,1.3,8.2
2.0,3.85,5.8,I_Pumice_02.jpg,4.35,7.05,1.8,7.9
1.85,3.9,4.85,I_Pumice_03.jpg,4.65,6.6,2.0,7.6
1.6,4.55,5.2,I_Pumice_04.jpg,4.79,6.2,1.3,7.1
1.55,4.85,5.2,I_Pumice_05.jpg,7.4,6.35,3.8,6.6
1.95,5.1,5.55,I_Pumice_06.jpg,4.16,7.05,3.4,7.2
2.35,4.15,5.85,I_Pumice_07.jpg,4.49,6.65,1.6,6.9
2.15,4.95,4.25,I_Pumice_08.jpg,4.93,5.1,0.4,7.3
2.15,3.7,6.1,I_Pumice_09.jpg,4.95,7.6,1.4,7.85
1.85,5.6,6.15,I_Pumice_10.jpg,5.88,7.25,1.0,8.25
1.7,5.6,4.75,I_Pumice_11.jpg,4.91,5.3,1.3,8.15
2.0,5.4,4.3,I_Pumice_12.jpg,4.49,4.6,0.6,8.45
2.75,4.45,5.6,I_Rhyolite_01.jpg,4.58,5.85,1.7,7.1
2.25,5.35,5.85,I_Rhyolite_02.jpg,3.21,4.5,3.4,5.5
4.65,6.55,4.9,I_Rhyolite_03.jpg,6.0,4.1,2.5,3.8
2.55,5.8,3.7,I_Rhyolite_04.jpg,2.58,4.05,4.2,7.55
2.25,4.35,4.35,I_Rhyolite_05.jpg,2.74,4.95,4.1,5.5
3.75,6.35,5.25,I_Rhyolite_06.jpg,5.37,4.3,1.9,4.05
2.4,7.15,3.75,I_Rhyolite_07.jpg,4.33,4.45,1.8,3.15
1.45,6.2,3.55,I_Rhyolite_08.jpg,2.91,3.95,4.5,7.05
1.8,5.45,5.85,I_Rhyolite_09.jpg,2.51,4.55,5.2,6.25
2.65,5.8,5.4,I_Rhyolite_10.jpg,7.98,4.75,2.2,5.7
2.0,6.3,3.1,I_Rhyolite_11.jpg,5.05,4.0,0.9,6.9
2.6,5.15,5.95,I_Rhyolite_12.jpg,2.37,5.9,4.8,5.1
6.25,5.05,5.55,M_Amphibolite_01.jpg,4.4,4.6,0.9,2.0
2.3,4.55,4.0,M_Amphibolite_02.jpg,5.16,5.5,0.6,2.35
5.55,4.5,3.85,M_Amphibolite_03.jpg,4.6,3.3,0.8,2.0
3.85,5.15,5.15,M_Amphibolite_04.jpg,5.98,5.25,1.8,2.85
2.9,5.9,5.5,M_Amphibolite_05.jpg,5.14,5.3,1.5,4.4
2.85,5.55,4.35,M_Amphibolite_06.jpg,5.42,5.0,1.6,3.25
3.65,5.15,6.0,M_Amphibolite_07.jpg,5.35,5.75,1.0,4.0
6.5,4.35,4.35,M_Amphibolite_08.jpg,4.95,6.15,1.0,1.65
3.5,5.85,5.75,M_Amphibolite_09.jpg,6.28,4.45,2.4,3.0
2.75,6.35,5.3,M_Amphibolite_10.jpg,5.09,4.2,0.2,2.75
3.65,3.5,7.0,M_Amphibolite_11.jpg,6.49,6.95,1.4,3.1
4.3,2.35,6.95,M_Amphibolite_12.jpg,6.53,7.35,2.3,3.55
7.75,5.6,1.65,M_Anthracite_01.jpg,5.0,1.4,0.2,1.0
8.25,4.35,1.9,M_Anthracite_02.jpg,4.7,3.3,0.9,1.45
7.55,3.5,4.9,M_Anthracite_03.jpg,5.6,7.3,1.4,3.15
8.65,4.3,1.95,M_Anthracite_04.jpg,4.67,3.75,0.8,1.3
8.4,5.0,1.85,M_Anthracite_05.jpg,4.91,2.85,0.2,1.05
6.15,6.5,2.6,M_Anthracite_06.jpg,5.05,4.95,1.0,2.75
8.0,5.9,1.3,M_Anthracite_07.jpg,5.0,1.65,0.2,1.7
8.15,5.55,1.3,M_Anthracite_08.jpg,5.0,1.9,0.3,1.0
8.15,5.3,1.4,M_Anthracite_09.jpg,4.98,2.1,0.4,1.15
7.95,4.25,3.35,M_Anthracite_10.jpg,4.86,5.85,0.4,1.35
7.15,5.4,2.55,M_Anthracite_11.jpg,5.09,4.35,0.6,1.15
8.3,4.3,2.5,M_Anthracite_12.jpg,5.16,3.15,0.4,1.15
2.45,7.15,4.05,M_Gneiss_01.jpg,6.53,3.5,1.8,5.4
3.8,6.7,5.3,M_Gneiss_02.jpg,4.91,4.9,3.6,5.75
2.85,6.45,4.5,M_Gneiss_03.jpg,4.3,4.55,2.5,5.85
2.9,6.4,5.2,M_Gneiss_04.jpg,3.23,4.3,3.6,5.1
2.9,6.5,5.0,M_Gneiss_05.jpg,6.88,4.8,2.7,6.1
2.35,8.1,4.55,M_Gneiss_06.jpg,4.19,3.85,1.4,6.25
2.9,7.5,4.0,M_Gneiss_07.jpg,6.49,4.0,2.2,4.95
4.0,7.15,5.15,M_Gneiss_08.jpg,6.42,4.45,1.3,5.5
2.25,8.05,4.9,M_Gneiss_09.jpg,5.47,4.15,1.1,5.35
3.0,6.65,5.45,M_Gneiss_10.jpg,3.49,5.15,3.9,5.35
