porphyritic texture,Image,conchoidal fracture,pegmatitic structure
7.05,I_Andesite_01.jpg,2.07,2.55
7.05,I_Andesite_02.jpg,2.27,3.1
7.0,I_Andesite_03.jpg,2.33,2.0
8.14,I_Andesite_04.jpg,1.27,2.3
8.1,I_Andesite_05.jpg,1.33,2.85
7.33,I_Andesite_06.jpg,2.07,3.05
8.52,I_Andesite_07.jpg,1.07,3.2
3.81,I_Andesite_08.jpg,2.2,1.55
6.95,I_Andesite_09.jpg,2.13,2.3
6.67,I_Andesite_10.jpg,1.53,2.5
7.33,I_Andesite_11.jpg,1.8,2.65
6.95,I_Andesite_12.jpg,1.47,3.0
2.1,I_Basalt_01.jpg,4.73,1.05
3.05,I_Basalt_02.jpg,3.73,1.35
6.05,I_Basalt_03.jpg,2.33,2.45
2.0,I_Basalt_04.jpg,4.07,1.25
1.33,I_Basalt_05.jpg,3.2,1.15
1.48,I_Basalt_06.jpg,3.07,1.55
2.52,I_Basalt_07.jpg,1.27,2.1
1.67,I_Basalt_08.jpg,3.2,1.25
1.86,I_Basalt_09.jpg,2.13,1.2
1.62,I_Basalt_10.jpg,4.4,1.8
2.48,I_Basalt_11.jpg,1.6,1.7
3.57,I_Basalt_12.jpg,2.0,2.15
5.1,I_Diorite_01.jpg,1.53,2.55
5.76,I_Diorite_02.jpg,2.07,4.65
5.24,I_Diorite_03.jpg,1.6,3.1
5.76,I_Diorite_04.jpg,2.67,3.05
5.14,I_Diorite_05.jpg,1.93,2.9
5.48,I_Diorite_06.jpg,1.6,3.9
6.67,I_Diorite_07.jpg,1.73,4.1
6.38,I_Diorite_08.jpg,1.87,5.1
6.57,I_Diorite_09.jpg,1.73,3.3
5.52,I_Diorite_10.jpg,1.47,2.85
5.52,I_Diorite_11.jpg,1.2,3.1
5.48,I_Diorite_12.jpg,1.47,3.05
4.62,I_Gabbro_01.jpg,1.53,3.15
2.14,I_Gabbro_02.jpg,2.93,2.05
5.43,I_Gabbro_03.jpg,1.4,3.2
5.19,I_Gabbro_04.jpg,1.87,4.5
4.95,I_Gabbro_05.jpg,1.4,3.15
4.05,I_Gabbro_06.jpg,2.4,3.1
7.9,I_Gabbro_07.jpg,1.47,3.65
3.48,I_Gabbro_08.jpg,1.87,2.7
3.14,I_Gabbro_09.jpg,2.53,3.4
3.62,I_Gabbro_10.jpg,2.27,2.3
3.57,I_Gabbro_11.jpg,1.93,1.55
4.43,I_Gabbro_12.jpg,2.0,2.4
6.9,I_Granite_01.jpg,1.4,5.3
5.67,I_Granite_02.jpg,1.6,3.3
5.9,I_Granite_03.jpg,2.27,3.75
5.95,I_Granite_04.jpg,1.87,3.5
5.81,I_Granite_05.jpg,1.67,3.3
5.52,I_Granite_06.jpg,1.73,3.7
5.9,I_Granite_07.jpg,1.73,3.9
5.9,I_Granite_08.jpg,1.67,3.9
6.52,I_Granite_09.jpg,2.33,5.3
5.81,I_Granite_10.jpg,1.73,4.4
6.24,I_Granite_11.jpg,1.73,4.15
6.14,I_Granite_12.jpg,2.27,3.65
1.9,I_Obsidian_01.jpg,7.6,3.05
1.24,I_Obsidian_02.jpg,8.33,3.95
1.43,I_Obsidian_03.jpg,7.2,3.5
1.05,I_Obsidian_04.jpg,8.33,4.15
5.71,I_Obsidian_05.jpg,8.2,5.4
2.24,I_Obsidian_06.jpg,8.73,5.1
2.38,I_Obsidian_07.jpg,7.47,4.85
1.38,I_Obsidian_08.jpg,9.0,4.8
1.0,I_Obsidian_09.jpg,8.87,3.85
1.24,I_Obsidian_10.jpg,8.2,3.9
1.05,I_Obsidian_11.jpg,8.27,3.05
1.05,I_Obsidian_12.jpg,8.87,3.9
5.62,I_Pegmatite_01.jpg,1.73,5.25
5.19,I_Pegmatite_02.jpg,2.53,5.6
6.57,I_Pegmatite_03.jpg,2.67,5.75
5.62,I_Pegmatite_04.jpg,2.67,5.85
5.86,I_Pegmatite_05.jpg,2.67,5.55
4.33,I_Pegmatite_06.jpg,2.6,4.45
6.1,I_Pegmatite_07.jpg,1.8,8.2
4.62,I_Pegmatite_08.jpg,4.4,8.25
5.0,I_Pegmatite_09.jpg,3.87,6.4
3.9,I_Pegmatite_10.jpg,3.33,6.0
5.1,I_Pegmatite_11.jpg,3.33,8.75
6.1,I_Pegmatite_12.jpg,3.27,5.4
3.57,I_Peridotite_01.jpg,2.0,2.1
5.43,I_Peridotite_02.jpg,1.87,3.9
7.67,I_Peridotite_03.jpg,1.93,4.75
7.14,I_Peridotite_04.jpg,2.2,4.35
3.76,I_Peridotite_05.jpg,2.4,3.75
5.71,I_Peridotite_06.jpg,2.93,5.95
5.67,I_Peridotite_07.jpg,1.73,3.05
5.95,I_Peridotite_08.jpg,1.67,3.55
