smooth/rough,Image,red/green,dull/shiny,chromaticity,fine/coarse grain,darkness/lightness,disorganized/organized
4.55,I_Andesite_01.jpg,5.05,2.25,0.6,4.75,2.3,5.8
5.3,I_Andesite_02.jpg,4.67,2.7,1.1,5.35,6.55,4.1
3.85,I_Andesite_03.jpg,6.21,2.7,1.9,4.45,5.05,4.75
5.85,I_Andesite_04.jpg,4.37,2.45,2.2,6.15,5.55,4.35
6.0,I_Andesite_05.jpg,6.12,2.3,1.3,7.0,5.3,4.35
5.35,I_Andesite_06.jpg,5.09,2.8,0.4,5.95,5.85,5.3
4.95,I_Andesite_07.jpg,5.6,3.0,1.6,6.6,5.25,5.45
4.8,I_Andesite_08.jpg,5.07,2.65,1.2,4.4,5.4,5.8
3.85,I_Andesite_09.jpg,5.3,2.25,1.2,4.8,5.3,5.55
5.75,I_Andesite_10.jpg,4.95,2.35,0.8,6.0,4.75,3.8
5.05,I_Andesite_11.jpg,5.19,2.45,0.5,5.7,6.75,3.55
6.35,I_Andesite_12.jpg,3.33,2.45,3.9,6.55,6.45,4.75
4.1,I_Basalt_01.jpg,4.53,2.35,1.5,2.75,3.95,5.5
3.85,I_Basalt_02.jpg,5.37,2.25,0.7,3.65,4.8,5.45
5.25,I_Basalt_03.jpg,6.3,3.0,1.5,4.75,5.0,4.55
3.65,I_Basalt_04.jpg,5.56,1.75,1.2,2.45,1.75,5.2
3.65,I_Basalt_05.jpg,6.05,1.95,1.3,2.85,2.75,5.15
3.75,I_Basalt_06.jpg,5.05,1.7,0.3,2.3,2.25,5.55
5.55,I_Basalt_07.jpg,4.6,1.8,2.0,5.0,5.05,4.0
4.05,I_Basalt_08.jpg,5.0,1.75,0.7,3.15,1.85,5.85
4.5,I_Basalt_09.jpg,5.05,1.9,0.6,2.55,4.45,5.5
3.9,I_Basalt_10.jpg,3.81,2.35,2.3,2.45,2.55,5.2
5.9,I_Basalt_11.jpg,5.44,2.2,1.7,5.05,4.35,4.7
6.25,I_Basalt_12.jpg,5.35,2.0,0.9,5.3,4.85,4.15
4.8,I_Diorite_01.jpg,5.21,3.1,0.7,4.9,4.6,6.15
5.3,I_Diorite_02.jpg,6.05,4.0,2.5,6.35,4.15,5.6
5.2,I_Diorite_03.jpg,5.49,3.05,1.3,5.2,5.7,5.35
4.9,I_Diorite_04.jpg,6.28,3.6,1.1,5.1,5.15,5.3
5.45,I_Diorite_05.jpg,4.91,3.3,0.9,5.3,7.1,5.8
5.35,I_Diorite_06.jpg,4.51,4.15,1.5,6.25,5.95,4.85
5.35,I_Diorite_07.jpg,4.7,3.75,1.4,6.45,6.15,4.55
6.45,I_Diorite_08.jpg,5.7,4.4,1.7,7.3,5.9,4.8
4.7,I_Diorite_09.jpg,5.02,3.85,1.8,6.3,5.75,5.6
5.25,I_Diorite_10.jpg,6.77,3.0,1.9,5.35,6.2,5.95
5.25,I_Diorite_11.jpg,5.72,3.2,1.8,6.1,6.15,5.3
5.75,I_Diorite_12.jpg,6.0,3.15,2.9,6.3,5.65,4.85
5.95,I_Gabbro_01.jpg,5.58,3.25,1.1,5.55,5.1,4.8
4.45,I_Gabbro_02.jpg,4.4,2.85,1.9,3.65,3.3,5.2
5.0,I_Gabbro_03.jpg,5.26,3.45,1.0,5.35,4.5,5.65
6.85,I_Gabbro_04.jpg,5.33,3.9,0.6,6.4,4.0,4.15
6.65,I_Gabbro_05.jpg,6.58,3.15,2.0,6.15,3.65,3.9
5.65,I_Gabbro_06.jpg,5.95,3.35,1.2,5.35,4.65,3.75
6.95,I_Gabbro_07.jpg,3.02,2.4,3.9,7.3,4.25,4.1
6.0,I_Gabbro_08.jpg,5.28,3.25,0.7,5.85,3.5,4.45
6.75,I_Gabbro_09.jpg,5.05,5.2,0.2,5.9,1.9,3.9
6.55,I_Gabbro_10.jpg,4.88,3.55,0.8,5.15,2.0,4.55
5.25,I_Gabbro_11.jpg,5.33,2.8,0.9,4.8,4.4,4.95
5.2,I_Gabbro_12.jpg,5.26,2.65,1.0,5.3,4.25,4.6
6.25,I_Granite_01.jpg,2.4,3.95,5.5,7.35,5.0,4.6
5.3,I_Granite_02.jpg,4.67,3.3,1.4,5.6,7.15,5.45
5.45,I_Granite_03.jpg,2.91,3.85,4.5,6.05,6.25,5.05
5.35,I_Granite_04.jpg,4.56,3.35,1.4,5.8,6.0,5.75
6.9,I_Granite_05.jpg,2.12,2.2,5.7,6.45,5.0,3.7
5.15,I_Granite_06.jpg,4.6,3.7,1.7,5.95,5.55,5.2
5.75,I_Granite_07.jpg,4.93,3.3,0.8,6.1,6.45,5.0
5.05,I_Granite_08.jpg,4.86,4.4,1.4,6.2,6.7,5.1
7.8,I_Granite_09.jpg,2.26,5.55,5.2,7.3,4.8,2.6
6.0,I_Granite_10.jpg,2.81,3.55,5.5,6.45,5.5,4.45
5.4,I_Granite_11.jpg,4.42,3.95,2.0,6.85,7.0,4.85
5.65,I_Granite_12.jpg,3.88,4.15,3.1,6.6,6.5,4.45
1.75,I_Obsidian_01.jpg,3.88,7.7,2.2,1.5,1.5,5.4
1.2,I_Obsidian_02.jpg,4.6,8.45,1.5,1.05,1.1,5.65
2.7,I_Obsidian_03.jpg,5.07,7.95,0.4,1.6,1.25,4.85
1.4,I_Obsidian_04.jpg,5.02,8.9,0.1,1.25,1.0,5.95
1.65,I_Obsidian_05.jpg,5.51,7.85,0.5,3.9,1.6,3.5
2.15,I_Obsidian_06.jpg,3.0,8.75,2.6,2.15,1.85,5.0
1.9,I_Obsidian_07.jpg,3.16,7.65,2.9,2.45,1.7,6.5
1.6,I_Obsidian_08.jpg,5.37,8.95,1.1,1.55,1.55,5.5
1.65,I_Obsidian_09.jpg,5.6,8.5,0.6,1.1,1.05,5.75
1.45,I_Obsidian_10.jpg,5.56,8.65,0.9,1.3,1.4,5.45
1.2,I_Obsidian_11.jpg,5.0,8.75,0.1,1.15,1.0,6.1
1.6,I_Obsidian_12.jpg,4.72,8.85,0.6,1.2,1.05,5.6
8.3,I_Pegmatite_01.jpg,5.95,4.45,2.7,8.2,5.0,1.45
6.4,I_Pegmatite_02.jpg,2.88,3.5,4.7,6.85,3.8,2.9
6.5,I_Pegmatite_03.jpg,8.19,4.15,2.9,7.45,4.4,2.25
7.65,I_Pegmatite_04.jpg,4.7,5.15,1.3,7.25,6.15,2.15
7.15,I_Pegmatite_05.jpg,5.33,4.35,1.0,7.6,5.1,2.45
5.85,I_Pegmatite_06.jpg,4.37,3.9,1.8,5.75,6.8,3.3
6.9,I_Pegmatite_07.jpg,5.77,4.5,2.6,7.45,5.0,2.35
6.9,I_Pegmatite_08.jpg,5.07,6.6,3.0,5.95,4.5,2.6
6.8,I_Pegmatite_09.jpg,7.56,5.2,3.5,6.8,5.55,2.1
6.5,I_Pegmatite_10.jpg,7.67,5.7,4.4,6.6,6.4,3.55
6.5,I_Pegmatite_11.jpg,3.0,4.55,4.3,7.45,5.25,2.5
6.75,I_Pegmatite_12.jpg,5.07,4.75,0.5,6.6,5.45,3.25
4.95,I_Peridotite_01.jpg,5.58,2.85,1.4,3.55,3.25,5.85
5.7,I_Peridotite_02.jpg,7.56,4.75,4.1,6.2,5.35,3.45
6.15,I_Peridotite_03.jpg,5.44,3.35,1.1,6.45,3.3,4.2
5.5,I_Peridotite_04.jpg,4.16,4.35,3.8,6.25,5.7,4.0
5.9,I_Peridotite_05.jpg,7.21,4.65,2.9,4.8,4.6,4.3
7.0,I_Peridotite_06.jpg,7.72,6.0,3.3,6.95,5.05,2.45
6.2,I_Peridotite_07.jpg,7.33,3.4,2.3,5.85,4.7,4.45
6.1,I_Peridotite_08.jpg,7.16,4.0,3.6,6.4,4.2,4.25
5.05,I_Peridotite_09.jpg,5.05,3.1,1.5,4.8,3.95,4.25
7.1,I_Peridotite_10.jpg,7.21,4.35,2.5,6.65,5.1,4.1
6.95,I_Peridotite_11.jpg,8.51,2.45,3.0,6.35,5.45,3.5
6.0,I_Peridotite_12.jpg,7.33,4.1,2.6,6.45,4.85,4.6
5.9,I_Pumice_01.jpg,4.86,1.8,1.3,4.95,8.2,4.35
7.05,I_Pumice_02.jpg,4.35,2.0,1.8,5.8,7.9,3.85
6.6,I_Pumice_03.jpg,4.65,1.85,2.0,4.85,7.6,3.9
6.2,I_Pumice_04.jpg,4.79,1.6,1.3,5.2,7.1,4.55
6.35,I_Pumice_05.jpg,7.4,1.55,3.8,5.2,6.6,4.85
